event_day,event_hour,topics,city,country
2017-04-02,01:30,Social,Austin,us
2017-04-02,01:30,Singles,Austin,us
2017-03-26,13:00,Fitness,Cambridge,gb
2017-03-26,13:00,Half Marathon,Cambridge,gb
2017-03-26,13:00,Marathon,Cambridge,gb
2017-03-26,13:00,Running,Cambridge,gb
2017-03-26,13:00,Group Fitness Training,Cambridge,gb
2017-03-26,13:00,Fun Run,Cambridge,gb
2017-03-26,13:00,Beginner's Running,Cambridge,gb
2017-03-26,13:00,Long Distance Running,Cambridge,gb
2017-03-26,13:00,Road Running,Cambridge,gb
2017-03-23,00:00,Live Music,Arlington,us
2017-03-23,00:00,Singles,Arlington,us
2017-03-23,00:00,Booze,Arlington,us
2017-03-23,00:00,New In Town,Arlington,us
2017-03-23,00:00,Craft Beer,Arlington,us
2017-03-23,00:00,Nightlife,Arlington,us
2017-03-23,00:00,Board Games,Arlington,us
2017-03-23,00:00,Fun Times,Arlington,us
2017-03-23,00:00,Happy Hour,Arlington,us
2017-03-23,00:00,20's & 30's Social,Arlington,us
2017-03-23,00:00,Brunch,Arlington,us
2017-03-23,00:00,Pubs and Bars,Arlington,us
2017-03-23,00:00,Field Trips,Arlington,us
2017-03-23,00:00,Sports and Recreation,Arlington,us
2017-03-23,00:00,30's 40's Social,Arlington,us
2017-03-25,15:30,Exercise,Minneapolis,us
2017-03-25,15:30,Weight Loss,Minneapolis,us
2017-03-25,15:30,Fitness,Minneapolis,us
2017-03-25,15:30,Nutrition,Minneapolis,us
2017-03-25,15:30,free workout,Minneapolis,us
2017-03-25,15:30,Getting in Shape,Minneapolis,us
2017-03-25,15:30,Healthy Living,Minneapolis,us
2017-03-25,15:30,Weight Loss Challenge,Minneapolis,us
2017-03-25,15:30,Family Friendly,Minneapolis,us
2017-03-25,15:30,Workout,Minneapolis,us
2017-03-25,15:30,Free Group Fitness Workout,Minneapolis,us
2017-03-25,15:30,Weight Loss Support,Minneapolis,us
2017-03-25,15:30,Weight Management,Minneapolis,us
2017-03-25,15:30,Women's Fitness,Minneapolis,us
2017-03-25,15:30,Girl's Fitness | Ladies Nutrition | Women Workouts,Minneapolis,us
2017-03-19,15:30,Social,Fort Myers,us
2017-03-19,15:30,Deutsch,Fort Myers,us
2017-03-19,15:30,German Conversation,Fort Myers,us
2017-03-19,15:30,Culture Exchange,Fort Myers,us
2017-03-19,15:30,Expat German,Fort Myers,us
